respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.123612284660339,0.228752285242081
26708,0.0926062166690826,0.01
26709,0.485591292381287,0.79547530412674
26710,0.689739584922791,0.901530265808105
26711,0.109899133443832,0.582558870315552
26712,0.52646803855896,0.883501768112183
26713,0.410340756177902,0.417710721492767
26714,0.119738712906837,0.198050022125244
26715,0.0516807734966278,0.178836315870285
26716,0.273155778646469,0.826324224472046
26717,0.052099421620369,0.439738899469376
26718,0.205677688121796,0.499796867370605
26719,0.0648913979530334,0.883492350578308
26720,0.117492079734802,0.198934823274612
26721,0.455800414085388,0.446479648351669
26722,0.103343725204468,0.158070862293243
26723,0.556240200996399,0.780128002166748
26724,0.0972672253847122,0.790690839290619
26725,0.0808389335870743,0.232150971889496
26726,0.00848585367202759,0.01
26727,0.264499187469482,0.855499446392059
26728,0.261752516031265,0.60241162776947
26729,0.127724722027779,0.319456100463867
26730,0.126933440566063,0.244431287050247
26731,0.01,0.145630896091461
26732,0.01,0.01
26733,0.891900181770325,0.962729692459106
26734,0.815269231796265,0.617024958133698
26735,0.275559544563293,0.462894082069397
26736,0.127636611461639,0.221839904785156
26737,0.10483206808567,0.185300469398499
26738,0.686565160751343,0.833961248397827
26739,0.114507749676704,0.248809486627579
26740,0.233191281557083,0.261107444763184
26741,0.13944748044014,0.794605612754822
26742,0.131313145160675,0.43036550283432
26743,0.0321329832077026,0.463081538677216
26744,0.111789494752884,0.689317464828491
26745,0.0938574969768524,0.870167911052704
26746,0.270434528589249,0.513326048851013
26747,0.129007294774055,0.337374478578568
26748,0.0848869830369949,0.01
26749,0.107479453086853,0.497098803520203
26750,0.655867457389832,0.88695365190506
26751,0.203252673149109,0.749752163887024
26752,0.0414634048938751,0.01
26753,0.147349193692207,0.653304636478424
26754,0.123333156108856,0.52247017621994
26755,0.0721803158521652,0.363964438438416
26756,0.0117561519145966,0.01
26757,0.499588370323181,0.736483216285706
26758,0.731762886047363,0.907886028289795
26759,0.0444542467594147,0.194024235010147
26760,0.0863245278596878,0.158784449100494
26761,0.156030058860779,0.469000458717346
26762,0.162405744194984,0.889022469520569
26763,0.940544605255127,0.99
26764,0.82284939289093,0.930907487869263
26765,0.0634904801845551,0.56500118970871
26766,0.142160132527351,0.219105154275894
26767,0.769188404083252,0.776307344436646
26768,0.01,0.279791176319122
26769,0.232143729925156,0.246127516031265
26770,0.121901080012321,0.477484732866287
26771,0.0505430102348328,0.103494316339493
26772,0.0975421369075775,0.404055535793304
26773,0.01,0.186192393302917
26774,0.00639548897743225,0.2807876765728
26775,0.124999359250069,0.643431305885315
26776,0.203088670969009,0.431408286094666
26777,0.116015404462814,0.765992343425751
26778,0.119254097342491,0.0297216773033142
26779,0.137446761131287,0.445687085390091
26780,0.123475909233093,0.866534113883972
26781,0.0556496679782867,0.37812864780426
26782,0.0868436247110367,0.413266897201538
26783,0.11347109079361,0.322057008743286
26784,0.136370345950127,0.897115230560303
26785,0.557181358337402,0.639505386352539
26786,0.112438693642616,0.269098699092865
26787,0.12898550927639,0.472274661064148
26788,0.0610545128583908,0.862472295761108
26789,0.00524961948394775,0.229012906551361
26790,0.0992254316806793,0.260531067848206
26791,0.13236066699028,0.233654767274857
26792,0.148086756467819,0.748721420764923
26793,0.114222511649132,0.807049870491028
26794,0.856871128082275,0.905214667320251
26795,0.0780173093080521,0.847097933292389
26796,0.0587252676486969,0.0860789120197296
26797,0.104215666651726,0.492205858230591
26798,0.112985149025917,0.186919361352921
26799,0.201879590749741,0.473103433847427
26800,0.0503244549036026,0.836875557899475
26801,0.423567056655884,0.340194165706635
26802,0.115663677453995,0.259627997875214
26803,0.22684220969677,0.396152019500732
26804,0.0373688936233521,0.036405622959137
26805,0.00327667593955994,0.01
26806,0.109891325235367,0.806479036808014
26807,0.713139057159424,0.967732906341553
26808,0.12582540512085,0.631178140640259
26809,0.866715550422668,0.01
26810,0.0223598182201385,0.01
26811,0.0975778549909592,0.1324123442173
26812,0.275918960571289,0.784478306770325
26813,0.254244029521942,0.335190236568451
26814,0.0662270188331604,0.443547964096069
26815,0.104409888386726,0.224149763584137
26816,0.0769398659467697,0.107521057128906
