respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.141260206699371,0.188568770885468
26708,0.0263177752494812,0.0457450151443481
26709,0.426928579807281,0.744429171085358
26710,0.607616007328033,0.85502690076828
26711,0.164128035306931,0.498236149549484
26712,0.38343408703804,0.859319448471069
26713,0.391539692878723,0.440286427736282
26714,0.113249093294144,0.187277674674988
26715,0.00458464026451111,0.140888631343842
26716,0.188888996839523,0.803211092948914
26717,0.0993795394897461,0.457663595676422
26718,0.301272809505463,0.426762223243713
26719,0.105414122343063,0.868881165981293
26720,0.140516147017479,0.196685194969177
26721,0.31635308265686,0.55283921957016
26722,0.01,0.0921425223350525
26723,0.49506938457489,0.797426700592041
26724,0.113503098487854,0.825997710227966
26725,0.126378566026688,0.139495134353638
26726,0.01,0.01
26727,0.171495348215103,0.822600841522217
26728,0.244677141308784,0.50785905122757
26729,0.139486312866211,0.363900035619736
26730,0.135393887758255,0.24357008934021
26731,0.01,0.235614001750946
26732,0.01,0.0371549129486084
26733,0.921520352363586,0.943428516387939
26734,0.920434713363647,0.501355111598969
26735,0.157769232988358,0.398669213056564
26736,0.108008548617363,0.217721402645111
26737,0.01,0.135365784168243
26738,0.495372503995895,0.820457458496094
26739,0.143438592553139,0.213269233703613
26740,0.144934922456741,0.150290727615356
26741,0.185640245676041,0.851697862148285
26742,0.182533770799637,0.506464242935181
26743,0.01,0.372582733631134
26744,0.0982514619827271,0.647836089134216
26745,0.171624168753624,0.871593415737152
26746,0.179100558161736,0.456526726484299
26747,0.105502843856812,0.206111460924149
26748,0.01,0.0307866930961609
26749,0.0852481722831726,0.679552614688873
26750,0.58115953207016,0.850681066513062
26751,0.25669139623642,0.726476728916168
26752,0.0798722952604294,0.12319615483284
26753,0.230651453137398,0.632946908473969
26754,0.01,0.594363331794739
26755,0.01,0.400304615497589
26756,0.01,0.01
26757,0.46947780251503,0.709320068359375
26758,0.316577881574631,0.919012606143951
26759,0.0600440800189972,0.187244534492493
26760,0.0706220120191574,0.133054435253143
26761,0.113535851240158,0.469346314668655
26762,0.0679195672273636,0.917283117771149
26763,0.934562265872955,0.966384828090668
26764,0.92745715379715,0.948371171951294
26765,0.105489313602448,0.610082983970642
26766,0.160494938492775,0.199997127056122
26767,0.835014820098877,0.744036614894867
26768,0.01,0.376911163330078
26769,0.171034067869186,0.205357909202576
26770,0.147269025444984,0.635257065296173
26771,0.01,0.102900385856628
26772,0.107361376285553,0.417230367660522
26773,0.0972335040569305,0.362451165914536
26774,0.01,0.391078174114227
26775,0.133955627679825,0.598410129547119
26776,0.36716216802597,0.41435569524765
26777,0.118095502257347,0.799432873725891
26778,0.16017834842205,0.172609746456146
26779,0.189182162284851,0.483319997787476
26780,0.140859618782997,0.881753146648407
26781,0.114147990942001,0.422240912914276
26782,0.0978754609823227,0.384244650602341
26783,0.147293925285339,0.27540385723114
26784,0.3920778632164,0.833426058292389
26785,0.521612763404846,0.630560696125031
26786,0.149522453546524,0.247861504554749
26787,0.118161976337433,0.476767420768738
26788,0.105905264616013,0.880882143974304
26789,0.01,0.237233519554138
26790,0.124717533588409,0.226602584123611
26791,0.12356998026371,0.175916850566864
26792,0.238552927970886,0.764665842056274
26793,0.139361187815666,0.821856439113617
26794,0.748553514480591,0.890451014041901
26795,0.10292050242424,0.853408217430115
26796,0.01,0.113226741552353
26797,0.105797037482262,0.596108376979828
26798,0.273306041955948,0.286116480827332
26799,0.287215054035187,0.381329655647278
26800,0.0768916606903076,0.84327495098114
26801,0.300890237092972,0.324264824390411
26802,0.136266797780991,0.251765370368958
